TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0
TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1697396401,alice,session-alpha-723,LOGIN,/usr/bin/sshd,5,0
1697396415,alice,session-alpha-723,COMMAND_EXEC,/bin/ls,3,1024
1697396428,bob,session-beta-112,LOGIN,/usr/bin/sshd,5,0
1697396445,alice,session-alpha-723,FILE_ACCESS,/var/log/auth.log,7,4096
1697396458,eve,session-gamma-915,LOGIN,/usr/bin/sshd,5,0
1697396472,bob,session-beta-112,FILE_ACCESS,/home/bob/docs/project.txt,4,8192
1697396485,eve,session-gamma-915,LOGIN,/usr/bin/telnetd,9,0
1697396501,alice,session-alpha-723,DATA_TRANSFER,198.51.100.2,8,512000
1697396515,bob,session-beta-112,LOGOUT,/usr/bin/sshd,5,0
1697396528,carlos,session-delta-404,LOGIN,/usr/bin/sshd,5,0
1697396542,alice,session-alpha-723,FILE_ACCESS,/var/secrets/key.dat,10,256
1697396555,carlos,session-delta-404,COMMAND_EXEC,/usr/bin/whoami,3,512
1697396570,eve,session-gamma-915,FILE_ACCESS,/etc/shadow,10,2048
1697396588,carlos,session-delta-404,DATA_TRANSFER,203.0.113.50,8,1024000
1697396602,alice,session-alpha-723,LOGOUT,/usr/bin/sshd,5,0
1697396615,carlos,session-delta-404,COMMAND_EXEC,/bin/rm,9,0
1697396630,dave,session-epsilon-500,LOGIN,/usr/bin/sshd,5,0
1697396645,eve,session-gamma-915,DATA_TRANSFER,192.0.2.10,8,768000
1697396660,carlos,session-delta-404,LOGOUT,/usr/bin/sshd,5,0